Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4345454847451669,116487 | 8523484 | 128008 | 9 | GEK9026,mc,2018-12-25 18:29:08,BRST,SettledInstallment,4645457696226709,BRL,,487.40,1,BRL,,0.00,13.40,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116487
TurbiBR,TurbiBRCOM,4345457539639657,116686 | 8522793 | 128207 | 31 | GDQ9684,mc,2018-12-25 18:47:47,BRST,SettledInstallment,1645457708215415,BRL,,46.27,1,BRL,,0.00,1.27,,,,,0000024984,40618122502803829101,mccredit,91,,,,,,,,Capture Request bookingId 116686
TurbiBR,TurbiBRCOM,1615454762059991,116464 | 8510397 | 127985 | 38 | GDT7856,mc,2018-12-26 07:44:34,BRST,RefundedInstallment,4515458174251356,BRL,110.25,,1,BRL,110.25,,,,,,,,,mccredit,91,,,,,,,,Refund Request bookingId 116464
TurbiBR,TurbiBRCOM,1315456437575098,116625 | 8500156 | 128146 | 57 | FXD8307,mc,2018-12-26 08:02:54,BRST,SettledInstallment,1615458185202955,BRL,,316.29,1,BRL,,0.00,8.70,,,,307.59,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116625
TurbiBR,TurbiBRCOM,1515457789201489,116702 | 8500670 | 128223 | 8 | GCE1566,mc,2018-12-25 23:57:53,BRST,SettledInstallment,1715457894228078,BRL,,116.39,1,BRL,,0.00,3.20,,,,113.19,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116702
TurbiBR,TurbiBRCOM,4815456802474413,116654 | 8525302 | 128175 | 23 | FLQ7676,mc,2018-12-26 07:47:49,BRST,SettledInstallment,1815458176208092,BRL,,371.50,1,BRL,,0.00,10.22,,,,361.28,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116654
TurbiBR,TurbiBRCOM,4315454289812515,116408 | 8527599 | 127929 | 45 | GHS1618,mc,2018-12-26 10:52:54,BRST,SettledInstallment,4615458287212088,BRL,,474.09,1,BRL,,0.00,13.04,,,,461.05,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116408
TurbiBR,TurbiBRCOM,1815458345804011,116735 | 8506268 | 128256 | 27 | GIE0915,mc,2018-12-26 15:22:50,BRST,SettledInstallment,4715458449219541,BRL,,66.65,1,BRL,,0.00,1.83,,,,64.82,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116735
TurbiBR,TurbiBRCOM,1715458314131363,116728 | 8528622 | 128249 | 62 | GJR9212,mc,2018-12-26 13:42:54,BRST,SettledInstallment,4815458389235894,BRL,,30.00,1,BRL,,0.00,0.82,,,,29.18,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116728
TurbiBR,TurbiBRCOM,1315458235925095,116719 | 8528793 | 128240 | 40 | FJC0776,mc,2018-12-26 15:47:55,BRST,SettledInstallment,1615458464216692,BRL,,61.64,1,BRL,,0.00,1.70,,,,59.94,0000025213,10618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116719
